year,fips,pop2010,pop2023,state,stateCode,growthSince2010,name,ctyname,slug,landArea,density,StatePercentage,StateRank,densityMi,area
2023,51685,14273,18104,Virginia,VA,0.268408884,Manassas Park,Manassas Park,manassas-park-va,3,6034.666667,0.002052052,85,6034.666667,3
2023,51175,18570,17825,Virginia,VA,-0.040118471,Southampton County,Southampton County,southampton-county-va,599,29.75792988,0.002020428,86,29.75792988,599
2023,51141,18490,17344,Virginia,VA,-0.061979448,Patrick County,Patrick County,patrick-county-va,483,35.90890269,0.001965908,87,35.90890269,483
2023,51520,17835,17033,Virginia,VA,-0.04496776,Bristol,Bristol,bristol-va,13,1310.230769,0.001930656,88,1310.230769,13
2023,51029,17146,16728,Virginia,VA,-0.024378864,Buckingham County,Buckingham County,buckingham-county-va,580,28.84137931,0.001896085,89,28.84137931,580
2023,51071,17286,16637,Virginia,VA,-0.037544834,Giles County,Giles County,giles-county-va,356,46.73314607,0.001885771,90,46.73314607,356
2023,51011,14973,16464,Virginia,VA,0.099579243,Appomattox County,Appomattox County,appomattox-county-va,333,49.44144144,0.001866161,91,49.44144144,333
2023,51750,16408,15968,Virginia,VA,-0.026816187,Radford,Radford,radford-va,10,1596.8,0.001809941,92,1596.8,10
2023,51830,14068,15833,Virginia,VA,0.125462042,Williamsburg,Williamsburg,williamsburg-va,9,1759.222222,0.001794639,93,1759.222222,9
2023,51135,15853,15579,Virginia,VA,-0.017283795,Nottoway County,Nottoway County,nottoway-county-va,314,49.61464968,0.001765848,94,49.61464968,314
2023,51063,15279,15536,Virginia,VA,0.016820473,Floyd County,Floyd County,floyd-county-va,381,40.77690289,0.001760974,95,40.77690289,381
2023,51025,17434,15375,Virginia,VA,-0.118102558,Brunswick County,Brunswick County,brunswick-county-va,566,27.16431095,0.001742725,96,27.16431095,566
2023,51610,12332,15357,Virginia,VA,0.245296789,Falls Church City County,Falls Church City County,falls-church-city-county-va,2,7678.5,0.001740685,97,7678.5,2
2023,51077,15533,15273,Virginia,VA,-0.016738557,Grayson County,Grayson County,grayson-county-va,442,34.55429864,0.001731164,98,34.55429864,442
2023,51043,14034,15008,Virginia,VA,0.069402879,Clarke County,Clarke County,clarke-county-va,176,85.27272727,0.001701127,99,85.27272727,176
2023,51005,16250,14914,Virginia,VA,-0.082215385,Alleghany County,Alleghany County,alleghany-county-va,445,33.51460674,0.001690472,100,33.51460674,445
2023,51125,15020,14703,Virginia,VA,-0.021105193,Nelson County,Nelson County,nelson-county-va,471,31.21656051,0.001666556,101,31.21656051,471
2023,51113,13308,13996,Virginia,VA,0.051698227,Madison County,Madison County,madison-county-va,321,43.60124611,0.001586419,102,43.60124611,321
2023,51051,15903,13590,Virginia,VA,-0.145444256,Dickenson County,Dickenson County,dickenson-county-va,331,41.05740181,0.001540399,103,41.05740181,331
2023,51007,12690,13439,Virginia,VA,0.059022853,Amelia County,Amelia County,amelia-county-va,355,37.85633803,0.001523284,104,37.85633803,355
2023,51690,13821,13383,Virginia,VA,-0.031690905,Martinsville,Martinsville,martinsville-va,11,1216.636364,0.001516936,105,1216.636364,11
2023,51735,12150,12553,Virginia,VA,0.033168724,Poquoson,Poquoson,poquoson-va,15,836.8666667,0.001422857,106,836.8666667,15
2023,51131,12389,12249,Virginia,VA,-0.011300347,Northampton County,Northampton County,northampton-county-va,212,57.77830189,0.0013884,107,57.77830189,212
2023,51133,12330,11692,Virginia,VA,-0.051743715,Northumberland County,Northumberland County,northumberland-county-va,191,61.21465969,0.001325265,108,61.21465969,191
2023,51111,12914,11642,Virginia,VA,-0.098497754,Lunenburg County,Lunenburg County,lunenburg-county-va,432,26.94907407,0.001319597,109,26.94907407,432
2023,51037,12586,11211,Virginia,VA,-0.109248371,Charlotte County,Charlotte County,charlotte-county-va,475,23.60210526,0.001270744,110,23.60210526,475
2023,51081,12243,11136,Virginia,VA,-0.090419015,Greensville County,Greensville County,greensville-county-va,295,37.74915254,0.001262243,111,37.74915254,295
2023,51103,11391,10778,Virginia,VA,-0.053814415,Lancaster County,Lancaster County,lancaster-county-va,133,81.03759398,0.001221665,112,81.03759398,133
2023,51119,10959,10526,Virginia,VA,-0.039510904,Middlesex County,Middlesex County,middlesex-county-va,130,80.96923077,0.001193101,113,80.96923077,130
2023,51183,12087,10451,Virginia,VA,-0.135352031,Sussex County,Sussex County,sussex-county-va,490,21.32857143,0.0011846,114,21.32857143,490
2023,51057,11151,10434,Virginia,VA,-0.064299166,Essex County,Essex County,essex-county-va,257,40.59922179,0.001182673,115,40.59922179,257
2023,51049,10052,9561,Virginia,VA,-0.048846001,Cumberland County,Cumberland County,cumberland-county-va,297,32.19191919,0.00108372,116,32.19191919,297
2023,51159,9254,8824,Virginia,VA,-0.046466393,Richmond County,Richmond County,richmond-county-va,191,46.19895288,0.001000183,117,46.19895288,191
2023,51115,8978,8401,Virginia,VA,-0.064268211,Mathews County,Mathews County,mathews-county-va,86,97.68604651,0.000952237,118,97.68604651,86
2023,51620,8582,8060,Virginia,VA,-0.060824983,Franklin,Franklin,franklin-va,8,1007.5,0.000913585,119,1007.5,8
2023,51678,7042,7404,Virginia,VA,0.051405851,Lexington,Lexington,lexington-va,2,3702,0.000839229,120,3702,2
2023,51157,7373,7342,Virginia,VA,-0.00420453,Rappahannock County,Rappahannock County,rappahannock-county-va,266,27.60150376,0.000832201,121,27.60150376,266
2023,51530,6650,6638,Virginia,VA,-0.001804511,Buena Vista,Buena Vista,buena-vista-va,7,948.2857143,0.000752404,122,948.2857143,7
2023,51036,7256,6629,Virginia,VA,-0.086411246,Charles City County,Charles City County,charles-city-county-va,183,36.22404372,0.000751384,123,36.22404372,183
2023,51640,7042,6624,Virginia,VA,-0.059358137,Galax,Galax,galax-va,8,828,0.000750817,124,828,8
2023,51097,6945,6506,Virginia,VA,-0.063210943,King and Queen County,King and Queen County,king-and-queen-county-va,315,20.65396825,0.000737442,125,20.65396825,315
2023,51181,7058,6411,Virginia,VA,-0.091669028,Surry County,Surry County,surry-county-va,279,22.97849462,0.000726674,126,22.97849462,279
2023,51021,6824,6105,Virginia,VA,-0.105363423,Bland County,Bland County,bland-county-va,358,17.05307263,0.00069199,127,17.05307263,358
2023,51595,5927,5718,Virginia,VA,-0.035262359,Emporia,Emporia,emporia-va,7,816.8571429,0.000648124,128,816.8571429,7
2023,51580,5961,5671,Virginia,VA,-0.048649555,Covington,Covington,covington-va,5,1134.2,0.000642796,129,1134.2,5
2023,51045,5190,4802,Virginia,VA,-0.074759152,Craig County,Craig County,craig-county-va,330,14.55151515,0.000544297,130,14.55151515,330
2023,51017,4731,4053,Virginia,VA,-0.143310082,Bath County,Bath County,bath-county-va,529,7.661625709,0.000459399,131,7.661625709,529
2023,51720,3958,3606,Virginia,VA,-0.088933805,Norton,Norton,norton-va,7,515.1428571,0.000408733,132,515.1428571,7
2023,51091,2321,2205,Virginia,VA,-0.049978458,Highland County,Highland County,highland-county-va,415,5.313253012,0.000249932,133,5.313253012,415
